Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category
Project Shore Stories,PELECF-2978,503763,,Epic,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
ECF Scanner Extended to Send Run Summary Message for Non-Zonal Stores,PELECF-2977,503736,,Story,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
ECF Scanner Extended to Send Run Summary Message for Zonal Stores,PELECF-2976,503734,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e99,,,20/Nov/20 11:55 AM;557058:09cf04a4-0278-4b1d-8e0d-79b1d4ce16b9;[~accountid:557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece] - do we need Mobico for any of this ? ,"20/Nov/20 1:24 PM;557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece;[~accountid:557058:09cf04a4-0278-4b1d-8e0d-79b1d4ce16b9] No we don’t Gill.. For the Phase 1 summary message we compile the message from ECF Scanner when the gun signals to ECF scanner that the run is PICKED- so no change to gun needed.
 
(For Phase 2- the expanded messages- we *will* need Mobico as the gun needs to raise the new extra signals  back to ECF scanner for us to publish to Azure )","30/Nov/20 11:36 AM;557058:9090f81d-ce11-49d3-a207-44468dbcb709;Post 3 amigos with [~accountid:557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece] , [~accountid:557058:9f521e75-762b-496a-8f34-1538875aabc7] and [~accountid:5b762cbf6f0516050b78c435] ",,,,,,,,,,,,,,,,,,,,,,,,Done
Set Up Events Pipeline for Pick run Summary Messaging,PELECF-2975,503732,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e100,,,19/Nov/20 3:27 PM;557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece;Duplicate of https://woolworthslimited.atlassian.net/browse/PELECF-2936,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Complete Pick Run Summary Message Design,PELECF-2974,503729,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e101,,,"19/Nov/20 2:20 PM;557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece;*Story completed:*

* Confluence updated with the JSO format-
[https://woolworthslimited.atlassian.net/wiki/spaces/PELECF/pages/1298333714/Picking+Events+Data+feed+to+Analytics+Team|https://woolworthslimited.atlassian.net/wiki/spaces/PELECF/pages/1298333714/Picking+Events+Data+feed+to+Analytics+Team|smart-link] 
* Format sent to Analytics team who have uploaded and agreed format","19/Nov/20 2:21 PM;557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece;Story completed.
See completion comments",,,,,,,,,,,,,,,,,,,,,,,,,Done
OSR Test: Decant without PO,PELECF-2973,503703,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e102,,,"10/Dec/20 10:41 AM;5d112929296d800c1590ebe8;A number of inventory management operations have been carried out and audited by the Store Central Team. This includes decanting without a purchase order in order to add new stock (for test purposes). The stock level updates were sent to Store Central.

Inventory Management results may be seen at [https://docs.google.com/document/d/1nnShL605AOCtNwTN1SJAlbymWA9wmA5GPVPeD6mC4bw/edit|https://docs.google.com/document/d/1nnShL605AOCtNwTN1SJAlbymWA9wmA5GPVPeD6mC4bw/edit|smart-link] and [https://docs.google.com/document/d/1xpWIunQve-U0oBgpO7E8XB_fGKFGKgCx6RrvmawR1RE/edit|https://docs.google.com/document/d/1xpWIunQve-U0oBgpO7E8XB_fGKFGKgCx6RrvmawR1RE/edit|smart-link] for perusal.",,,,,,,,,,,,,,,,,,,,,,,,,,Done
Pick Rate Data for Analytics: Phase 1,PELECF-2972,503701,,Epic,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
OSR Test: Decant/ load items to OSR (with PO),PELECF-2971,503694,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e104,,,"10/Dec/20 10:39 AM;5d112929296d800c1590ebe8;A number of inventory management operations have been carried out and audited by the Store Central Team. This includes pushing a real purchase order from SAP/ Informatica to Takeoff, where the purchase order was seen and used to decant the associated articles. The stock level updates were sent to Store Central.

Inventory Management results may be seen at [https://docs.google.com/document/d/1nnShL605AOCtNwTN1SJAlbymWA9wmA5GPVPeD6mC4bw/edit|https://docs.google.com/document/d/1nnShL605AOCtNwTN1SJAlbymWA9wmA5GPVPeD6mC4bw/edit|smart-link] and [https://docs.google.com/document/d/1xpWIunQve-U0oBgpO7E8XB_fGKFGKgCx6RrvmawR1RE/edit|https://docs.google.com/document/d/1xpWIunQve-U0oBgpO7E8XB_fGKFGKgCx6RrvmawR1RE/edit|smart-link] for perusal.",,,,,,,,,,,,,,,,,,,,,,,,,,Done
TA- Review and break down manual regression tests into different layers of the test pyramid.,PELECF-2970,503542,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e105,,,30/Nov/20 3:16 PM;5aa6ef84f75bb52a82327a00;The first cut of test scenarios to automate - [https://docs.google.com/spreadsheets/d/1BHPtmunOlGb8eq0HqkjuJnWuDcaLPbUlvq6SJHuA7ZQ/edit?usp=sharing|https://docs.google.com/spreadsheets/d/1BHPtmunOlGb8eq0HqkjuJnWuDcaLPbUlvq6SJHuA7ZQ/edit?usp=sharing|smart-link] ,,,,,,,,,,,,,,,,,,,,,,,,,,Done
TA - SPIKE: analyse impact/risk of different store level feature settings (including non-locker related) on the Locker solution.,PELECF-2965,503535,,Task,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e106,,,05/Mar/21 2:22 PM;5e7abaace6f50f0c3a10e722;[~accountid:5aa6ef84f75bb52a82327a00] Is this ticket still relevant?,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
TA - Automate,PELECF-2962,503532,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
TA - Analyse and build a list of API operations for E2E automation.,PELECF-2961,503531,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
TA - Update/create pipelines and triggers for E2E UI Smoke + E2E API Tests,PELECF-2959,503528,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
TA - Add Load/Collect customer journey to E2E smoke tests.,PELECF-2957,503524,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
"TA - Optimise test order creation test step, as the current approach is taking too long. ",PELECF-2955,503522,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e111,,,30/Nov/20 3:40 PM;5aa6ef84f75bb52a82327a00;Done,,,,,,,,,,,,,,,,,,,,,,,,,,Done
TA - Update E2E smoke tests to run on all environments.,PELECF-2954,503521,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
TA - Ensure Locker solution runs on CI,PELECF-2953,503520,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Non E2E Test,PELECF-2952,503518,,Epic,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
E2E API Test,PELECF-2951,503484,,Epic,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
Test Automation,PELECF-2950,503466,,Epic,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
Release DPS for Go Live,PELECF-2949,503301,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e117,,,"02/Dec/20 9:29 AM;5e80f179d197460c1573e20b;PVT doc: [https://drive.google.com/file/d/1x5S2S4-4O06B7jz5yqpubU2L05KjrSGJ/view?usp=sharing|https://drive.google.com/file/d/1x5S2S4-4O06B7jz5yqpubU2L05KjrSGJ/view?usp=sharing|smart-link] 

UAT tests: [https://docs.google.com/document/d/1onXoZ1pAELAXmwWWbgljzaeB9J85YIDhrU8Y8DL_r64/edit?usp=sharing|https://docs.google.com/document/d/1onXoZ1pAELAXmwWWbgljzaeB9J85YIDhrU8Y8DL_r64/edit?usp=sharing|smart-link] ",,,,,,,,,,,,,,,,,,,,,,,,,,Done
"""Duplicate Delivery Window (s)"" clickable",PELECF-2948,503299,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e118,,,"30/Nov/20 8:49 AM;5aa6ef84f75bb52a82327a00;Test Completed: {color:#36b37e}Passed{color}

||*Scenario*||*Day Filter*||*DW Checkbox*||*Result (Button state)*||
|1|All|None|Disabled|
|2|One of the days|None|Disabled|
|3|All|Checked one or more|Disabled|
|4|One of the days|Checked one or more|Enabled|",30/Nov/20 8:50 AM;5aa6ef84f75bb52a82327a00;ECM Version - *Release 2020.11.24.002*,,,,,,,,,,,,,,,,,,,,,,,,,Done
Logistics - Copy DWs,PELECF-2947,503194,,Epic,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
"Create two new OSR zones- Ambient and Chilled for Moorhouse, ",PELECF-2946,503167,,Story,Not Doing,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e120,,,15/Feb/21 4:58 PM;5db8b54252817b0c343da517;Pre-requisite: As mentioned in refinement we need to SmartFulfilment handlers for TakeOff to extract temperature type from SERVED message. For Penrose OSR it was only Ambient/Other.,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Performance Improvement: Order Summaries,PELECF-2945,503146,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
How to do performance testing for Spot Check Report and in general,PELECF-2944,503063,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e122,,,11/Nov/20 5:24 PM;5aa6ef84f75bb52a82327a00;Left a message to Cheyne to book some time to chat about it.,"13/Nov/20 3:06 PM;5aa6ef84f75bb52a82327a00;There was a meeting between Cheyne, Ho, Pallvi and myself. 

* Suggestions around how to improve performance was discussed.
* Suggestions around how to performance test was discussed.
** At unit test level, we can performance test the key query using {{SET STATISTICS TIME ON}} and {{SET STATISTICS IO ON}} + Profiling using {{Execution Plan}}. ",,,,,,,,,,,,,,,,,,,,,,,,,Done
Raise as an Impediment on Impediment board,PELECF-2943,503062,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Raise about UAT Access levels in Dev Forum,PELECF-2942,503061,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Update POS101 for Project Shore redeemable Articles Part II,PELECF-2941,503022,,Story,Not Doing,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
[Moorhouse] Printer - Print chilled labels first.,PELECF-2940,502940,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e126,,,05/Mar/21 2:39 PM;5dcb813637249a0c69301b7b;Story need to be groomed again as we have agreed with ZP (Paul in particular) to have a single zone for Moorhouse. We will need temperature zone information see [https://woolworthslimited.atlassian.net/browse/PELECF-3734|https://woolworthslimited.atlassian.net/browse/PELECF-3734|smart-link]  ,"23/Mar/21 9:19 AM;5e80fe9168b30b0c1abe771b;Testing done in UAT environment and validated that the chilled labels are printed first when the order is served and then Ambient labels.
Please find below link for test cases & test results:
[https://drive.google.com/file/d/1vlusXbmN53xhf23gO2v0YP1Xs_aMkGHT/view?usp=sharing|https://drive.google.com/file/d/1vlusXbmN53xhf23gO2v0YP1Xs_aMkGHT/view?usp=sharing|smart-link] ",,,,,,,,,,,,,,,,,,,,,,,,,Done
Remove feature toggle - Order scroll on search page,PELECF-2939,502825,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e127,,,16/Nov/20 5:15 PM;5e7abaace6f50f0c3a10e722;[Forefront|https://woolworthslimited.atlassian.net/jira/people/team/62b427ed-e235-4b36-81c1-087e1e1d7571?ref=jira$&src=issue] ([~accountid:5e7abaace6f50f0c3a10e722] [~accountid:5e8cec47f393c80b7c6cbed4] [~accountid:5e80fe9168b30b0c1abe771b][~accountid:5e80f179d197460c1573e20b]  [~accountid:5e656f21ae59460cfb017d36] [~accountid:5e742509a9a7410c3dd1de71])There is this ticket too in “to do” - just FYI,"18/Nov/20 9:05 AM;5e80f179d197460c1573e20b;Tested in QA.
- Next/Previous scroll buttons functionality
- hover over text
- searched for all stores for a customer name and navigation was correct",,,,,,,,,,,,,,,,,,,,,,,,,Done
Release ECF 4.59,PELECF-2938,502822,,Task,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Removal of unused objects in the ECF databases,PELECF-2937,502807,,Epic,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
Create pub sub infrastructure for Pick Events,PELECF-2936,502756,,Story,Done,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e130,,,"11/Nov/20 8:32 AM;557058:9f521e75-762b-496a-8f34-1538875aabc7;[~accountid:557058:8ec6fd0e-6ea4-4b8b-bb91-5ec1726a4ece] [~accountid:5c3c0a3ccfa94f5e973a6bd6] just added some details to this story since we have some of the details confirmed now

We can fill the rest once we have the meeting tomorrow with DA team. Please feel free to change anything that doesn’t make sense.",,,,,,,,,,,,,,,,,,,,,,,,,,Done
Order Drop Code and internal Order Number displayed on Pickerman device,PELECF-2935,502715,,Story,Backlog,PELECF,OPTIMUS & PEL ECF Development and Support,software,Dominic McRae,5f890765e357dd006e905e131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do
